code,name,regency_code
110101,Bakongan,1101
110102,Kluet Utara,1101
110103,Kluet Selatan,1101
110104,Labuhanhaji,1101
110105,Meukek,1101
110106,Samadua,1101
110107,Sawang,1101
110108,Tapaktuan,1101
110109,Trumon,1101
110113,Kluet Tengah,1101
110114,Kluet Timur,1101
110115,Bakongan Timur,1101
110116,Trumon Timur,1101
110117,Kota Bahagia,1101
110118,Trumon Tengah,1101
110201,Lawe Alas,1102
110203,Bambel,1102
110204,Babussalam,1102
110205,Badar,1102
110206,Babul Makmur,1102
110207,Darul Hasanah,1102
110208,Lawe Bulan,1102
110209,Bukit Tusam,1102
110210,Semadam,1102
110211,Babul Rahmah,1102
110212,Ketambe,1102
110213,Deleng Pokhkisen,1102
110214,Lawe Sumur,1102
110215,Tanoh Alas,1102
110216,Leuser,1102
110301,Darul Aman,1103
110302,Julok,1103
110303,Idi Rayeuk,1103
110304,Birem Bayeun,1103
110305,Serbajadi,1103
110306,Nurussalam,1103
110307,Peureulak,1103
110308,Rantau Selamat,1103
110309,Simpang Ulim,1103
110310,Ranto Peureulak,1103
110311,Pante Bidari,1103
110312,Madat,1103
110313,Indra Makmu,1103
110314,Idi Tunong,1103
110315,Banda Alam,1103
110316,Peudawa,1103
110317,Peureulak Timur,1103
110318,Peureulak Barat,1103
110319,Sungai Raya,1103
110320,Simpang Jernih,1103
110321,Darul Ihsan,1103
110322,Darul Falah,1103
110323,Idi Timur,1103
110324,Peunaron,1103
110401,Linge,1104
110402,Silih Nara,1104
110403,Bebesen,1104
110407,Pegasing,1104
110408,Bintang,1104
110410,Ketol,1104
110411,Kebayakan,1104
110412,Kute Panang,1104
110413,Celala,1104
110417,Laut Tawar,1104
110418,Atu Lintang,1104
110419,Jagong Jeget,1104
110420,Bies,1104
110421,Rusip Antara,1104
110501,Johan Pahlawan,1105
110502,Kaway XVI,1105
110503,Sungai Mas,1105
110504,Woyla,1105
110505,Samatiga,1105
110506,Bubon,1105
110507,Arongan Lambalek,1105
110508,Pante Ceureumen,1105
110509,Meureubo,1105
110510,Woyla Barat,1105
110511,Woyla Timur,1105
110512,Panton Reu,1105
110601,Lhoong,1106
110602,Lhoknga,1106
110603,Indrapuri,1106
110604,Seulimeum,1106
110605,Montasik,1106
110606,Sukamakmur,1106
110607,Darul Imarah,1106
110608,Peukan Bada,1106
110609,Mesjid Raya,1106
110610,Ingin Jaya,1106
110611,Kuta Baro,1106
110612,Darussalam,1106
110613,Pulo Aceh,1106
110614,Lembah Seulawah,1106
110615,Kota Jantho,1106
110616,Kuta Cot Glie,1106
110617,Kuta Malaka,1106
